date,n,mean,median,trimmed_mean,winsorized_mean,hodges_lehmann,sd,iqr,mad
19.10,64,3.3642719169527995,3.3642719169528,3.364271916952799,3.3642719169527995,3.3642719169528,4.475998511201681e-16,0.0,0.0
20.10,17,3.3642719169528,3.3642719169528,3.364271916952801,3.3642719169528,3.3642719169528,0.0,0.0,0.0
21.10,19,3.9363399900171796,3.3642719169528,3.3642719169528,3.3642719169528004,3.3642719169528,2.4935869193136706,0.0,0.0
24.10,63,5.344717242930801,3.3642719169528,4.542365397079286,5.190708781327424,3.3642719169528,3.7583203159486986,1.5378354212381997,0.0
25.10,68,6.137597605606683,3.3642719169528,5.4216884786605,5.985172213510495,4.5736511660322,4.479011975352355,5.318518787111602,0.0
26.10,77,7.041954655412037,4.485695889270399,6.439178895863154,6.885713454655892,7.2693282712232,4.734070378483653,8.2746243365408,1.1214239723175994
27.10,64,7.5079624105151765,5.754857784873401,7.059088521807216,7.4220263077363375,7.5531216503498,4.651632784892545,8.492108680770398,2.3905858679206013
29.10,102,7.304993200778907,3.3642719169528,6.5960923085245655,7.183502916896848,7.7455223666674,5.186218907424616,9.0095281831996,0.0
31.10,203,7.378483927333959,5.142608233588,6.825098987755725,7.160411049159917,7.3772110968262,4.568293989490107,8.057488376032198,1.7783363166351998
3.11,160,7.944520019061903,4.902107338191,7.292906954040422,7.714222702213459,7.9678144062468,5.2786841123736385,9.2586225437146,1.5378354212381997
