larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,541.0,173.76,149,12.53,11.891,3.49,8.25,2.0,49.23,20.57,0.909,-89.1,0.617,0.481,15.08,2.25,7.93,2322.0,619.7
2,448.0,95.5,28,13.45,2.081,11.82,16.12,4.47,33.12,19.34,0.812,-75.3,0.825,0.59,97.99,16.73,65.32,2506.2,742.2
3,246.0,76.67,28,14.14,1.98,7.58,13.42,2.0,21.11,17.32,0.572,83.0,0.774,0.539,83.2,12.5,60.03,1744.2,814.0
4,108.0,40.63,16,8.25,1.94,6.45,8.94,2.83,14.11,10.55,0.664,-44.3,0.908,0.593,81.44,13.16,62.56,1725.1,823.5
5,372.0,91.25,45,26.91,1.672,6.57,11.66,2.0,34.72,16.08,0.886,-33.0,0.807,0.492,83.48,10.67,60.84,1688.5,834.3
6,196.0,57.11,14,11.4,1.228,8.64,12.0,4.0,18.49,14.92,0.591,41.6,0.867,0.605,131.78,22.79,81.58,2292.7,848.3
7,359.0,88.43,27,26.48,1.02,10.11,12.0,6.0,38.9,12.87,0.944,-18.2,0.867,0.539,114.58,10.04,63.09,2770.9,892.8
8,480.0,99.15,30,26.0,1.154,11.3,15.23,2.83,38.43,17.59,0.889,-40.7,0.83,0.499,114.58,27.27,96.1,2119.2,908.9
9,93.0,52.53,14,11.7,1.196,4.34,6.0,2.0,20.63,8.35,0.914,-14.1,0.684,0.497,127.75,21.43,71.82,2057.7,921.4
10,1081.0,182.99,77,56.72,1.358,13.08,18.97,4.0,69.49,25.31,0.931,-4.9,0.717,0.545,124.73,19.82,51.55,2664.4,958.4
11,367.0,88.33,36,30.08,1.197,9.15,12.81,4.0,35.09,14.58,0.91,31.5,0.85,0.484,144.19,19.58,75.82,2448.8,977.9
12,230.0,172.49,87,33.11,2.628,2.72,6.0,2.0,37.07,17.41,0.883,-27.7,0.5,0.294,21.64,2.05,9.36,2884.6,982.2
13,365.0,81.6,25,16.4,1.524,11.26,15.23,5.66,28.73,17.93,0.781,53.5,0.875,0.61,121.15,22.59,82.56,2659.8,1063.2
14,133.0,53.7,19,17.09,1.112,5.75,8.25,2.0,21.35,8.55,0.916,-11.8,0.801,0.554,89.39,7.96,52.45,1840.9,1071.1
15,503.0,105.25,45,12.65,3.558,10.74,16.0,2.0,40.46,17.42,0.903,-83.8,0.858,0.614,107.26,12.41,58.9,1990.6,1093.1
16,378.0,79.6,19,19.31,0.984,13.09,16.12,8.94,29.99,16.28,0.84,-69.6,0.936,0.686,123.73,28.9,78.94,2832.2,1105.5
17,366.0,89.15,31,28.02,1.106,9.96,12.81,4.47,36.86,13.31,0.933,62.7,0.904,0.449,143.83,15.23,69.28,2367.7,1124.1
18,208.0,67.94,21,21.1,0.995,7.49,10.0,4.47,28.89,10.63,0.93,27.9,0.812,0.481,137.8,9.88,56.54,2769.2,1135.8
19,243.0,65.94,24,16.4,1.463,9.1,12.0,4.0,26.12,12.98,0.868,-69.2,0.868,0.596,131.97,19.16,71.6,2295.5,1144.8
20,264.0,66.53,19,6.08,3.124,10.26,12.17,7.21,24.13,14.91,0.786,-85.8,0.889,0.647,107.94,12.45,71.38,2145.9,1185.5
21,394.0,102.08,37,35.13,1.053,8.87,12.0,2.83,43.33,13.02,0.954,-70.5,0.783,0.492,101.12,10.7,56.31,1814.7,1228.7
22,303.0,75.94,30,21.47,1.397,9.17,13.42,4.0,26.85,16.56,0.787,6.1,0.849,0.613,105.0,14.92,67.75,1947.7,1241.9
23,319.0,84.18,27,27.46,0.983,8.64,13.42,4.0,35.73,12.64,0.935,-65.9,0.818,0.478,113.43,13.9,61.28,2020.8,1270.7
24,311.0,80.77,25,24.33,1.027,9.37,12.17,4.0,33.13,12.97,0.92,88.6,0.854,0.648,134.01,19.5,74.2,2673.4,1288.7
25,851.0,144.12,56,51.0,1.098,13.38,20.4,5.66,55.9,20.33,0.932,67.7,0.888,0.518,128.08,25.68,64.52,2978.6,1317.4
26,840.0,157.58,166,46.01,3.608,5.27,12.81,2.0,47.63,25.53,0.844,-37.7,0.8,0.525,26.3,3.43,10.03,1425.5,1334.5
27,268.0,67.94,19,19.42,0.979,9.87,12.81,4.47,26.67,13.21,0.869,48.1,0.915,0.583,128.73,18.6,73.23,2780.5,1372.9
28,339.0,77.84,19,20.62,0.922,11.14,14.14,8.0,31.09,14.52,0.884,-39.5,0.916,0.542,134.39,16.03,61.96,2729.6,1430.6
29,274.0,66.43,25,14.56,1.717,10.85,15.62,4.0,21.7,16.89,0.628,30.8,0.913,0.596,115.59,31.58,93.95,2618.0,1490.8
30,562.0,147.92,60,53.26,1.126,8.52,14.14,2.0,57.83,15.94,0.961,58.5,0.749,0.255,128.02,28.72,89.3,1649.9,1515.1
31,284.0,68.77,20,12.73,1.571,10.27,13.42,6.0,25.73,15.6,0.795,-64.1,0.899,0.623,125.84,21.01,83.4,2699.5,1507.5
32,780.0,152.61,74,46.17,1.603,11.01,17.89,4.0,51.83,24.11,0.885,0.4,0.729,0.51,116.61,27.99,98.89,1790.4,1533.7
