date,image_name,number_of_larvae,mean_body_length,mean_area,mean_intensity
18.10,IMG_2953,10,348.6,2789.9,76.54
18.10,IMG_2954,4,320.25,2570.75,96.0
18.10,IMG_2955,10,168.9,1268.6,74.73
18.10,IMG_2956,8,521.12,3758.0,89.84
18.10,IMG_2957,11,102.36,1085.09,69.58
18.10,IMG_2958,6,301.0,2231.17,90.12
18.10,IMG_2959,9,408.56,2667.56,110.99
18.10,IMG_3001,13,165.77,1819.69,129.49
18.10,IMG_3002,13,132.08,1137.85,150.25
18.10,IMG_3003,15,253.33,1952.07,93.63
18.10,IMG_3004,11,118.73,1012.36,94.16
18.10,IMG_3005,8,171.5,1484.62,105.12
18.10,IMG_3006,15,204.6,1657.2,83.02
18.10,IMG_3007,13,298.77,1873.0,104.09
18.10,IMG_3008,19,173.05,1618.37,107.25
18.10,IMG_3009,25,123.76,1211.52,72.35
18.10,IMG_3010,13,254.54,1696.62,107.97
18.10,IMG_3011,16,154.38,1448.69,94.4
18.10,IMG_3012,13,191.15,1435.31,107.88
18.10,IMG_3013,19,104.79,821.37,58.86
18.10,IMG_3015,11,175.64,1512.18,105.83
18.10,IMG_3016,14,127.71,623.43,89.66
18.10,IMG_3017,15,238.07,1474.53,103.1
18.10,IMG_3018,13,151.85,1232.85,101.19
18.10,IMG_3019,19,103.05,608.63,73.33
18.10,IMG_3020,10,156.9,1471.6,102.09
18.10,IMG_3021,12,150.67,1383.75,121.88
18.10,IMG_3022,16,140.81,1215.75,91.22
18.10,IMG_3023,10,146.3,1274.5,117.85
18.10,IMG_3024,17,293.88,2255.65,84.91
19.10,IMG_3778,22,78.77,697.86,131.62
19.10,IMG_3779,23,45.83,419.96,138.56
19.10,IMG_3780,21,68.48,634.33,125.62
19.10,IMG_3788,26,37.73,484.08,130.58
19.10,IMG_3789,26,47.77,512.23,128.71
19.10,IMG_3793,26,73.35,743.19,135.6
19.10,IMG_3794,26,74.35,716.77,139.84
19.10,IMG_3800,30,38.57,268.33,129.92
19.10,IMG_3801,30,81.77,791.8,125.14
19.10,IMG_3802,30,83.2,682.63,132.64
19.10,IMG_3803,24,54.58,369.17,131.81
19.10,IMG_3804,27,67.19,523.37,130.57
19.10,IMG_3805,29,30.0,199.59,137.33
19.10,IMG_3806,25,75.28,897.32,129.99
19.10,IMG_3807,24,88.67,758.58,129.55
19.10,IMG_3808,23,57.26,630.87,122.02
19.10,IMG_3809,24,52.42,508.0,134.75
19.10,IMG_3810,25,64.6,629.4,129.28
19.10,IMG_3811,28,60.61,550.0,131.48
19.10,IMG_3812,22,29.0,309.59,124.75
19.10,IMG_3815,30,97.6,1017.0,112.59
19.10,IMG_3816,23,34.17,228.17,140.82
19.10,IMG_3817,24,70.42,709.58,144.19
19.10,IMG_3818,24,24.12,132.12,130.34
19.10,IMG_3819,26,55.46,522.62,118.27
19.10,IMG_3820,24,52.67,586.46,128.83
19.10,IMG_3821,22,71.09,759.95,129.05
19.10,IMG_3822,22,39.55,531.18,129.24
19.10,IMG_3823,21,76.0,970.52,129.68
19.10,IMG_3824,22,91.86,1062.95,125.05
20.10,IMG_4646,16,93.38,1317.62,98.38
20.10,IMG_4659,18,67.78,603.33,114.47
20.10,IMG_4660,20,99.8,949.05,89.67
20.10,IMG_4711,21,80.43,982.33,111.12
20.10,IMG_4715,19,49.21,531.58,124.51
20.10,IMG_4717,23,44.52,474.96,112.72
20.10,IMG_4718,19,50.42,384.68,133.09
20.10,IMG_4720,19,92.11,865.21,123.86
20.10,IMG_4721,19,80.84,889.37,112.28
20.10,IMG_4723,17,77.06,806.71,124.11
20.10,IMG_4724,20,56.4,330.8,113.57
20.10,IMG_4725,22,70.77,458.27,123.98
20.10,IMG_4726,24,96.0,929.25,113.43
20.10,IMG_4727,23,96.13,1089.39,124.47
20.10,IMG_4728,23,60.35,756.35,118.05
20.10,IMG_4729,23,101.57,997.57,122.48
20.10,IMG_4730,26,81.38,800.27,109.25
20.10,IMG_4731,26,73.69,848.31,116.84
20.10,IMG_4732,23,71.26,753.13,126.45
20.10,IMG_4733,27,69.07,695.89,114.97
20.10,IMG_4740,25,95.24,837.84,108.26
20.10,IMG_4741,23,97.13,821.74,115.41
20.10,IMG_4742,19,101.84,1040.26,102.17
20.10,IMG_4743,17,65.18,640.59,119.52
20.10,IMG_4744,19,89.0,633.21,117.28
20.10,IMG_4745,16,92.69,975.5,127.57
20.10,IMG_4746,14,91.64,911.0,126.28
20.10,IMG_4747,14,108.21,940.14,115.36
20.10,IMG_4748,19,99.32,1092.11,109.97
20.10,IMG_4749,16,74.94,758.88,111.12
21.10,IMG_5245,14,128.29,782.93,107.26
21.10,IMG_5246,13,80.62,493.31,138.3
