larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,83.0,41.21,15,12.21,1.229,4.71,7.21,2.83,15.09,9.13,0.796,52.9,0.79,0.494,138.66,21.81,67.27,1601.2,1845.7
2,2414.0,338.62,340,47.13,7.214,8.59,23.41,2.0,73.21,47.56,0.76,-86.3,0.813,0.58,19.42,3.68,9.42,2121.8,1889.1
3,80.0,30.49,3,2.0,1.5,8.0,8.0,8.0,11.78,8.67,0.677,90.0,1.0,0.909,153.5,21.23,55.74,1686.2,1921.5
4,527.0,220.39,143,29.68,4.818,3.45,8.49,2.0,52.37,22.26,0.905,39.9,0.617,0.33,149.26,2.27,5.08,2025.7,2028.1
5,157.0,53.46,18,11.18,1.61,7.03,10.0,4.0,19.19,12.44,0.762,-43.2,0.844,0.545,141.67,31.68,75.22,1867.9,2029.0
6,2277.0,354.66,317,114.54,2.768,7.13,23.32,2.0,125.01,26.03,0.978,33.1,0.801,0.286,148.5,5.38,5.72,2082.9,2107.1
7,93.0,48.63,15,13.42,1.118,4.35,8.0,2.0,18.75,8.92,0.879,-36.9,0.71,0.421,132.77,28.06,72.57,1822.6,2103.7
8,93.0,41.46,15,8.49,1.768,5.21,7.21,2.83,12.42,11.14,0.443,84.4,0.816,0.511,110.91,20.62,66.59,1381.7,2204.1
9,101.0,38.63,10,9.06,1.104,5.95,8.94,2.83,13.21,10.21,0.635,13.7,0.918,0.656,121.94,17.99,68.91,1744.9,2217.9
10,83.0,36.63,11,0,1.0,4.03,7.21,2.0,13.21,9.11,0.724,65.5,0.856,0.58,116.6,23.85,70.0,1279.1,2219.0
11,102.0,45.11,15,9.49,1.581,5.89,8.25,4.0,15.46,10.43,0.738,-5.0,0.785,0.49,121.23,25.92,74.77,1150.1,2263.9
12,83.0,35.8,10,8.6,1.162,6.12,8.0,4.0,13.42,8.48,0.775,29.4,0.892,0.58,132.28,24.76,73.93,912.2,2285.3
13,103.0,43.21,13,8.54,1.522,5.76,8.25,2.83,14.16,11.08,0.623,-44.4,0.831,0.566,126.91,19.65,62.67,2014.0,2370.4
14,85.0,37.8,15,7.07,2.121,5.44,7.21,4.0,13.31,9.75,0.68,-69.6,0.833,0.545,130.48,26.85,82.02,1169.2,2385.2
15,84.0,36.38,10,9.0,1.111,5.85,8.0,2.83,12.75,9.44,0.673,-80.3,0.857,0.646,141.89,24.07,73.49,1185.8,2491.7
16,98.0,38.97,9,8.06,1.116,6.68,8.0,4.0,14.98,8.96,0.802,-56.5,0.875,0.628,147.84,17.27,64.41,1000.4,2551.3
17,93.0,39.21,11,10.05,1.095,5.79,8.25,4.0,14.97,9.2,0.789,-87.6,0.869,0.62,126.09,16.57,59.11,2124.6,2681.0
18,90.0,37.21,11,7.28,1.511,6.29,8.25,4.0,12.77,9.99,0.623,-25.7,0.9,0.682,133.32,27.46,83.23,1110.6,2840.9
19,149.0,56.18,19,15.52,1.224,6.5,10.77,2.0,16.96,12.32,0.687,30.0,0.876,0.523,132.8,19.45,65.62,2012.0,2900.7
20,118.0,42.04,11,8.06,1.364,7.32,8.94,4.47,13.99,11.71,0.548,-50.1,0.908,0.648,130.56,29.57,87.16,1274.8,2897.9
21,120.0,51.46,16,10.44,1.533,5.74,8.25,2.83,17.58,11.49,0.757,-25.9,0.779,0.543,135.04,27.6,80.06,1549.3,2906.9
22,111.0,50.53,17,15.3,1.111,5.25,8.25,2.0,18.58,9.3,0.866,77.2,0.787,0.531,139.05,29.03,74.25,1027.8,3001.3
23,98.0,88.95,29,24.04,1.206,2.94,5.66,2.0,28.63,8.33,0.957,34.9,0.488,0.233,24.43,2.52,12.92,2152.9,3014.6
24,124.0,50.28,14,13.04,1.074,6.08,10.0,4.0,19.11,10.16,0.847,-3.0,0.81,0.544,149.28,25.64,72.72,1440.0,3054.8
25,111.0,44.53,11,10.3,1.068,6.32,8.94,4.0,16.65,9.92,0.803,48.6,0.854,0.493,146.63,22.77,70.2,1198.4,3136.2
26,127.0,50.87,16,13.0,1.231,5.7,8.49,4.0,20.33,9.76,0.877,2.8,0.774,0.514,154.72,23.72,70.81,1489.6,3150.6
27,94.0,34.63,6,5.1,1.177,7.15,10.0,4.0,12.17,10.04,0.565,11.3,0.949,0.657,144.99,26.04,76.99,1577.2,3151.4
28,85.0,34.63,8,7.0,1.143,6.46,8.0,4.0,12.45,9.39,0.656,14.5,0.924,0.654,157.53,19.44,68.47,1558.0,3216.7
29,160.0,55.21,19,17.0,1.118,6.57,10.0,4.0,22.47,10.54,0.883,18.7,0.879,0.586,135.49,26.75,65.5,1712.9,3267.2
30,107.0,39.46,10,6.08,1.644,7.66,10.0,4.47,13.25,10.81,0.578,-11.1,0.939,0.594,153.88,24.67,59.33,1464.4,3297.1
