idx,area,solidity,major,minor
1,135,0.978,19.2,9.95
2,156,0.867,23.51,11.21
3,110,1.048,13.58,10.23
4,124,0.936,19.47,10.45
5,137,0.993,18.61,11.03
6,87,0.798,14.09,11.72
7,96,1.103,14.48,7.97
8,133,1.004,16.57,11.88
9,141,1.041,19.71,10.0
10,141,0.979,17.61,10.79
11,94,1.182,11.54,9.6
12,94,1.011,13.6,10.18
13,84,1.175,11.36,8.43
14,93,1.107,11.27,10.19
15,130,0.97,17.84,10.65
16,119,1.044,16.81,10.88
17,126,1.037,14.08,11.61
18,87,1.081,14.05,8.67
19,130,1.0,21.09,9.67
20,84,1.183,11.48,9.0
21,86,1.103,11.65,9.59
22,136,0.863,17.3,11.83
23,132,1.035,17.95,9.73
24,91,1.159,11.34,9.24
25,115,1.1,17.42,12.7
26,87,1.152,11.69,8.84
27,80,1.127,11.07,8.59
28,174,0.975,19.8,13.08
29,98,1.114,11.41,10.29
30,130,1.008,15.37,11.69
31,144,0.993,16.01,13.9
32,144,0.99,40.28,14.79
33,288,0.822,39.79,12.48
