id,area,perimeter,bbox_width,bbox_height,equiv_diameter,solidity,extent,major_axis,minor_axis,eccentricity,orientation_deg,skeleton_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,hu_moment_7
1,84.0,40.83,11,12,10.34,0.84,0.636,13.08,8.88,0.734,-49.3,15,9.9,1.515,4.73,7.21,2.0,157.77,21.51,50.79,779.9,44.4,1.86e-01,4.70e-03,4.48e-04,7.34e-06,1.67e-10,3.09e-07,-3.87e-10
2,101.0,46.63,12,15,11.34,0.802,0.561,16.3,9.55,0.811,21.8,19,14.32,1.327,4.43,8.25,2.0,112.66,16.56,44.42,339.9,100.1,2.21e-01,1.17e-02,4.62e-03,5.00e-04,7.59e-07,5.34e-05,2.28e-08
3,89.0,36.63,12,12,10.65,0.918,0.618,12.42,9.66,0.629,64.6,8,7.07,1.131,6.63,8.25,4.0,172.21,9.58,37.04,852.3,133.4,1.74e-01,1.83e-03,5.71e-04,1.66e-05,-1.61e-09,-7.09e-07,4.07e-11
4,128.0,50.38,19,11,12.77,0.842,0.612,19.18,10.26,0.845,74.1,19,12.08,1.572,5.67,10.0,2.0,154.95,26.11,58.98,924.4,136.9,2.31e-01,1.64e-02,5.59e-03,1.06e-03,2.57e-06,1.29e-04,3.10e-07
5,86.0,39.56,10,14,10.46,0.835,0.614,15.2,7.74,0.861,-14.7,17,9.06,1.877,4.57,7.21,2.0,168.57,3.81,29.03,849.2,224.3,2.11e-01,1.54e-02,2.33e-04,3.78e-05,3.55e-09,4.63e-06,-1.84e-10
6,81.0,34.63,13,11,10.16,0.89,0.566,12.0,9.17,0.645,77.5,7,6.08,1.151,6.79,8.0,5.66,139.85,32.52,79.11,1121.9,228.7,1.76e-01,2.14e-03,8.71e-04,5.81e-06,3.96e-10,1.51e-07,1.18e-10
7,82.0,39.52,13,11,10.22,0.804,0.573,14.72,7.81,0.847,-67.5,19,9.49,2.003,4.35,8.0,2.0,151.61,4.92,28.94,725.2,262.7,2.12e-01,1.41e-02,9.69e-04,1.26e-04,3.56e-08,3.55e-06,-2.59e-08
8,82.0,33.59,13,10,10.22,0.911,0.631,12.15,8.91,0.68,77.1,8,7.62,1.05,5.53,8.49,2.0,172.89,12.09,39.52,1080.8,261.3,1.73e-01,2.71e-03,3.72e-04,4.36e-05,5.52e-09,2.24e-06,6.27e-10
9,81.0,37.56,10,13,10.16,0.853,0.623,14.34,7.82,0.838,-32.3,11,11.18,0.984,4.34,7.21,2.0,122.54,14.85,41.14,237.7,282.2,2.06e-01,1.24e-02,1.37e-03,2.78e-04,1.57e-07,2.02e-05,-6.91e-08
10,144.0,58.87,24,14,13.54,0.724,0.429,22.65,10.58,0.884,-63.8,27,17.8,1.516,5.29,8.94,2.0,124.33,22.75,53.17,699.3,321.0,2.71e-01,3.03e-02,1.15e-02,3.78e-03,2.49e-05,6.51e-04,-8.96e-07
11,105.0,42.8,15,12,11.56,0.847,0.583,14.39,10.48,0.685,-81.7,14,7.62,1.838,5.57,8.49,2.0,122.11,30.89,65.86,175.9,367.3,1.89e-01,3.35e-03,1.84e-03,7.32e-05,2.46e-08,1.71e-06,1.07e-08
12,119.0,50.87,16,16,12.31,0.763,0.465,18.39,10.6,0.817,-56.6,23,16.64,1.382,5.25,8.25,2.0,135.09,25.77,58.79,933.4,367.8,2.37e-01,1.41e-02,7.58e-03,1.21e-03,3.58e-06,1.37e-04,7.39e-07
13,148.0,62.21,16,21,13.73,0.705,0.44,23.04,10.58,0.888,48.4,24,20.59,1.166,5.17,8.25,2.0,139.38,28.36,59.32,1012.9,387.8,2.72e-01,3.13e-02,4.68e-03,2.06e-03,6.30e-06,3.65e-04,1.11e-06
14,86.0,36.38,9,14,10.46,0.896,0.683,14.44,7.94,0.835,7.6,7,6.08,1.151,6.31,7.21,6.0,140.53,23.71,54.12,420.4,469.4,1.97e-01,1.12e-02,4.55e-04,2.10e-05,-1.75e-09,-1.87e-06,-1.06e-09
15,126.0,49.46,16,13,12.67,0.813,0.606,17.49,11.15,0.771,70.1,17,7.0,2.429,6.37,8.94,4.0,147.72,24.54,53.56,766.4,487.3,2.13e-01,8.12e-03,3.98e-03,2.44e-04,2.16e-07,1.66e-05,-1.06e-07
16,132.0,50.59,11,20,12.96,0.857,0.6,20.09,9.8,0.873,-4.4,17,16.03,1.06,5.42,10.0,2.0,160.95,21.16,51.52,138.8,514.2,2.37e-01,2.12e-02,5.71e-03,1.38e-03,3.86e-06,1.99e-04,2.72e-07
17,129.0,50.04,17,15,12.82,0.816,0.506,18.65,10.09,0.841,-47.3,14,12.21,1.147,6.28,8.94,4.0,150.53,28.95,61.57,420.9,549.3,2.18e-01,1.42e-02,2.02e-03,2.47e-04,1.61e-07,1.97e-05,-6.71e-08
18,83.0,33.73,10,11,10.28,0.912,0.755,11.26,9.57,0.527,30.6,5,4.12,1.213,7.39,8.94,6.0,155.02,25.02,55.98,444.9,559.2,1.65e-01,7.02e-04,9.51e-05,1.09e-06,1.11e-11,2.64e-08,1.06e-12
19,81.0,34.73,8,13,10.16,0.91,0.779,12.95,8.21,0.773,2.6,6,5.1,1.177,6.05,8.0,4.0,177.81,7.53,32.93,655.5,559.7,1.81e-01,5.99e-03,1.82e-04,7.66e-06,2.55e-10,5.54e-07,1.29e-10
20,103.0,34.73,10,12,11.45,0.99,0.858,12.47,10.56,0.532,10.3,3,2.24,1.342,9.33,10.0,8.0,177.94,7.55,33.06,396.6,569.8,1.62e-01,7.15e-04,8.44e-05,3.97e-07,-1.84e-12,-1.06e-08,-1.37e-12
21,90.0,35.14,11,11,10.7,0.909,0.744,11.25,10.45,0.371,29.9,6,5.39,1.114,5.55,10.0,2.0,178.72,7.0,32.28,257.8,578.8,1.64e-01,1.46e-04,1.86e-04,2.75e-06,-5.71e-11,-2.42e-11,2.48e-11
22,98.0,42.97,14,11,11.17,0.831,0.636,14.79,9.91,0.742,79.6,16,9.22,1.735,5.35,8.25,2.0,168.94,15.54,44.79,1052.4,581.0,2.02e-01,5.90e-03,2.67e-03,1.46e-04,9.11e-08,1.04e-05,-2.34e-09
23,103.0,47.8,13,16,11.45,0.774,0.495,18.56,8.81,0.88,-31.8,13,13.6,0.956,4.68,8.94,2.0,170.88,17.55,45.1,815.2,595.5,2.56e-01,2.62e-02,5.94e-03,2.83e-03,1.15e-05,4.36e-04,1.40e-06
24,91.0,43.76,12,15,10.76,0.765,0.506,13.56,10.78,0.607,10.9,18,13.0,1.385,4.12,8.0,2.0,179.49,12.01,37.51,951.8,625.6,2.06e-01,2.17e-03,5.53e-03,3.30e-04,-2.91e-07,-1.13e-05,3.37e-07
25,90.0,33.8,12,11,10.7,0.957,0.682,11.3,10.43,0.386,82.6,5,4.0,1.25,7.94,10.0,6.0,165.87,25.11,54.73,930.9,627.2,1.64e-01,1.76e-04,3.50e-04,1.90e-06,-4.01e-11,1.21e-08,-2.84e-11
26,127.0,48.18,17,12,12.72,0.847,0.623,18.42,10.07,0.837,-66.9,15,11.66,1.286,6.45,10.0,2.0,160.86,23.82,54.46,597.2,657.9,2.17e-01,1.37e-02,3.03e-03,5.00e-04,5.97e-07,5.65e-05,-1.48e-07
27,119.0,45.8,18,11,12.31,0.875,0.601,18.02,9.76,0.841,78.8,15,12.53,1.197,5.86,8.49,4.0,160.46,26.46,60.99,867.5,663.0,2.21e-01,1.45e-02,4.08e-03,6.50e-04,1.06e-06,7.82e-05,-6.10e-08
28,122.0,46.38,15,13,12.46,0.853,0.626,13.81,12.42,0.437,83.8,14,7.28,1.923,6.62,8.25,4.0,144.73,31.5,76.34,958.7,668.6,1.77e-01,3.47e-04,1.18e-03,1.77e-05,-2.34e-09,-2.64e-07,-1.01e-09
29,84.0,36.14,9,14,10.34,0.894,0.667,14.16,8.07,0.822,5.5,10,9.22,1.085,5.15,8.0,2.0,180.52,9.94,34.88,712.1,681.4,1.98e-01,1.01e-02,1.60e-03,2.52e-04,1.56e-07,2.37e-05,-3.66e-08
30,87.0,37.8,9,15,10.52,0.888,0.644,14.48,8.57,0.806,-5.2,10,9.0,1.111,4.52,7.21,2.0,168.03,17.72,43.97,363.5,752.7,2.04e-01,9.58e-03,2.63e-03,3.89e-04,3.91e-07,3.59e-05,3.57e-08
31,86.0,34.31,9,13,10.46,0.925,0.735,12.73,8.78,0.724,-13.9,13,9.06,1.436,5.31,8.0,2.0,175.45,9.61,35.55,407.3,807.2,1.74e-01,3.81e-03,3.37e-05,5.09e-06,5.59e-11,1.92e-07,3.62e-11
32,123.0,47.21,16,14,12.51,0.82,0.549,18.56,9.68,0.853,-61.1,13,12.21,1.065,5.84,10.0,2.83,166.03,20.51,51.85,686.2,837.7,2.23e-01,1.63e-02,2.88e-03,6.09e-04,8.07e-07,7.71e-05,-2.81e-08
33,85.0,33.56,10,11,10.4,0.934,0.773,11.89,9.22,0.631,31.9,4,2.83,1.414,8.3,8.94,8.0,171.56,16.42,43.39,580.1,850.4,1.66e-01,1.71e-03,1.58e-04,2.34e-06,-4.25e-11,-7.81e-08,1.44e-11
34,87.0,35.56,12,11,10.52,0.906,0.659,12.97,9.26,0.7,-55.2,8,7.81,1.024,5.5,8.0,2.0,167.43,15.81,44.37,465.3,900.9,1.82e-01,3.52e-03,1.49e-03,1.12e-04,3.70e-08,5.35e-06,-2.69e-08
35,138.0,56.46,20,15,13.26,0.719,0.46,19.25,11.47,0.803,70.9,22,11.66,1.886,5.7,10.0,2.83,153.79,30.12,59.95,340.7,908.4,2.27e-01,1.17e-02,2.58e-03,4.21e-04,4.36e-07,4.42e-05,-5.34e-08
36,126.0,47.46,18,12,12.67,0.887,0.583,18.33,9.9,0.842,64.0,12,11.7,1.025,6.1,8.25,4.0,161.32,19.26,48.18,848.8,914.8,2.15e-01,1.39e-02,3.05e-03,5.45e-04,7.00e-07,6.43e-05,5.97e-08
37,92.0,35.94,10,12,10.82,0.92,0.767,12.04,9.99,0.558,25.4,7,7.81,0.896,5.71,8.94,2.0,157.27,22.47,55.53,384.9,963.3,1.66e-01,9.44e-04,1.12e-04,9.72e-06,2.19e-10,2.05e-07,-2.35e-10
38,113.0,41.31,10,14,11.99,0.934,0.807,13.85,11.16,0.593,-5.9,10,9.49,1.054,5.96,10.0,2.0,159.85,22.06,50.65,676.0,983.1,1.75e-01,1.39e-03,8.64e-04,4.05e-05,5.20e-09,1.84e-07,5.52e-09
39,85.0,32.97,10,12,10.4,0.955,0.708,11.62,9.54,0.571,9.2,4,3.16,1.265,8.24,8.94,8.0,163.27,18.18,48.73,380.6,984.6,1.66e-01,1.05e-03,3.40e-04,5.30e-06,2.24e-10,1.71e-07,-1.84e-11
40,81.0,36.35,12,11,10.16,0.862,0.614,12.25,8.88,0.689,59.7,16,10.82,1.479,4.78,8.25,2.0,170.0,12.65,41.0,685.9,1016.8,1.77e-01,3.02e-03,6.51e-04,1.39e-05,-1.19e-09,-7.19e-07,-5.80e-10
