idx,area,body_length,avg_width,solidity,elongation,orientation
1,135,13,10.38,0.978,1.93,106.2
2,156,23,6.78,0.867,2.1,70.3
3,110,12,9.17,1.048,1.33,76.4
4,124,16,7.75,0.936,1.86,47.1
5,137,14,9.79,0.993,1.69,136.9
6,87,16,5.44,0.798,1.2,135.7
7,96,7,13.71,1.103,1.82,170.2
8,133,11,12.09,1.004,1.39,118.1
9,141,16,8.81,1.041,1.97,7.3
10,141,14,10.07,0.979,1.63,49.5
11,94,3,31.33,1.182,1.2,156.0
12,94,12,7.83,1.011,1.34,90.8
13,84,5,16.8,1.175,1.35,8.9
14,93,5,18.6,1.107,1.11,74.3
15,130,13,10.0,0.97,1.67,66.2
16,119,14,8.5,1.044,1.54,104.9
17,126,13,9.69,1.037,1.21,107.2
18,87,10,8.7,1.081,1.62,172.2
19,130,12,10.83,1.0,2.18,61.5
20,84,3,28.0,1.183,1.28,153.9
21,86,7,12.29,1.103,1.21,42.2
22,136,21,6.48,0.863,1.46,96.4
23,132,12,11.0,1.035,1.85,111.7
24,91,3,30.33,1.159,1.23,165.6
25,115,9,12.78,1.1,1.37,69.4
26,87,3,29.0,1.152,1.32,171.5
27,80,5,16.0,1.127,1.29,117.0
28,174,20,8.7,0.975,1.51,46.6
29,98,9,10.89,1.114,1.11,178.1
30,130,12,10.83,1.008,1.32,141.4
31,144,16,9.0,0.993,1.15,166.9
32,144,15,9.6,0.99,2.72,140.0
33,288,42,6.86,0.822,3.19,25.9
