date,n,mean,median,std,min,max,p10,p25,p75,p90,iqr,cv_percent
19.10,256,3.5860,3.4831,0.6215,2.5794,6.7687,2.9974,3.1828,3.8687,4.2323,0.6859,17.3319
20.10,135,3.7396,3.6399,0.5918,2.5966,5.6556,3.1005,3.3055,4.1221,4.5173,0.8166,15.8262
21.10,87,3.5651,3.5298,0.5134,2.7829,5.3593,2.9971,3.1584,3.8339,4.1505,0.6754,14.3997
24.10,231,5.8195,5.6879,1.5057,2.8846,10.5571,3.9801,4.6930,6.7584,7.8088,2.0655,25.8737
25.10,155,5.8552,5.9249,1.4782,3.1207,9.6888,4.1198,4.5251,6.8542,8.0306,2.3291,25.2456
26.10,146,6.3345,5.9439,1.6398,3.4436,12.3162,4.5994,5.4504,6.9871,8.5654,1.5367,25.8863
27.10,229,6.4790,6.4170,1.4242,2.8654,10.3175,4.6160,5.4738,7.7122,8.3189,2.2384,21.9823
29.10,231,7.9791,7.9337,1.8272,3.1026,13.4648,5.7983,6.6253,9.2501,10.4512,2.6247,22.9001
31.10,470,7.8259,7.4855,2.1345,3.0114,16.6764,5.3050,6.2951,9.1018,10.7954,2.8067,27.2745
3.11,297,7.4363,7.1508,2.0702,2.8186,13.7948,5.2410,5.9665,8.4134,10.5955,2.4470,27.8390
