task,repeat,fraction,n_train,accuracy,f1,maj_acc,maj_f1
Posture,0,0.1,96,0.75,0.6977334435131627,0.725,0.6094202898550724
Posture,0,0.2,192,0.7916666666666666,0.7671052631578947,0.725,0.6094202898550724
Posture,0,0.3,288,0.7916666666666666,0.7671052631578947,0.725,0.6094202898550724
Posture,0,0.5,480,0.8125,0.7893700787401575,0.725,0.6094202898550724
Posture,0,0.7,672,0.85,0.8381720430107527,0.725,0.6094202898550724
Posture,0,1.0,960,0.875,0.8723722363175064,0.725,0.6094202898550724
Posture,1,0.1,96,0.8,0.7785247432306256,0.725,0.6094202898550724
Posture,1,0.2,192,0.8333333333333334,0.818686308142468,0.725,0.6094202898550724
Posture,1,0.3,288,0.8666666666666667,0.8583850931677017,0.725,0.6094202898550724
Posture,1,0.5,480,0.8666666666666667,0.8594190394017832,0.725,0.6094202898550724
Posture,1,0.7,672,0.875,0.8691265630920804,0.725,0.6094202898550724
Posture,1,1.0,960,0.8625,0.8628187904920802,0.725,0.6094202898550724
Posture,2,0.1,96,0.75,0.7177583075114863,0.725,0.6094202898550724
Posture,2,0.2,192,0.7958333333333333,0.7706474190726159,0.725,0.6094202898550724
Posture,2,0.3,288,0.8333333333333334,0.8229813664596274,0.725,0.6094202898550724
Posture,2,0.5,480,0.8583333333333333,0.8516767715043578,0.725,0.6094202898550724
Posture,2,0.7,672,0.8791666666666667,0.8747421960473941,0.725,0.6094202898550724
Posture,2,1.0,960,0.8958333333333334,0.893943661971831,0.725,0.6094202898550724
Posture,3,0.1,96,0.7583333333333333,0.7413513513513513,0.725,0.6094202898550724
Posture,3,0.2,192,0.7875,0.7734453966161284,0.725,0.6094202898550724
Posture,3,0.3,288,0.8333333333333334,0.8229813664596274,0.725,0.6094202898550724
Posture,3,0.5,480,0.8541666666666666,0.8506695361071258,0.725,0.6094202898550724
Posture,3,0.7,672,0.8625,0.8628187904920802,0.725,0.6094202898550724
Posture,3,1.0,960,0.8666666666666667,0.8666666666666667,0.725,0.6094202898550724
Posture,4,0.1,96,0.8166666666666667,0.8175049607454059,0.725,0.6094202898550724
Posture,4,0.2,192,0.8083333333333333,0.7964285714285714,0.725,0.6094202898550724
Posture,4,0.3,288,0.8333333333333334,0.8277777777777777,0.725,0.6094202898550724
Posture,4,0.5,480,0.8458333333333333,0.8368631091606182,0.725,0.6094202898550724
Posture,4,0.7,672,0.8625,0.8583565459610027,0.725,0.6094202898550724
Posture,4,1.0,960,0.8583333333333333,0.8561608824320689,0.725,0.6094202898550724
