date,num_larvae,avg_length,std_length,min_length,max_length,median_length
18.10,388,191.9742268041237,279.6392362107397,2,1932,70.0
19.10,749,60.9652870493992,182.09772716759497,2,1408,14.0
20.10,610,80.47213114754098,158.0640253459748,2,803,13.0
21.10,466,106.23175965665236,217.9179225432666,2,1588,15.0
24.10,1340,33.86044776119403,88.80066938588695,1,1398,15.0
25.10,765,44.73856209150327,124.42299617441057,1,1387,19.0
26.10,689,38.847605224963715,99.53156611807492,1,1279,19.0
27.10,961,59.0780437044745,176.52033557853838,1,1491,21.0
29.10,1489,53.88784419073203,152.0731423070323,1,2618,24.0
3.11,1938,49.0108359133127,116.40806391261428,3,2531,27.0
31.10,2004,44.5813373253493,83.16189673684843,1,1045,30.0
