population,date,n,mean,median,trimmed_mean,std,ci_low,ci_high,date_index
raw,19.10,749,9.044446,3.464921,3.789220,24.812419,7.281852,10.779466,0
raw,20.10,610,10.417375,3.648934,5.677379,16.951512,9.043755,11.814187,1
raw,21.10,466,9.985435,3.699809,5.803328,15.289794,8.651959,11.325897,2
raw,24.10,1340,6.081057,4.461654,4.647669,7.743284,5.681297,6.501209,3
raw,25.10,765,6.662642,4.788072,5.088330,11.409657,5.952536,7.518276,4
raw,26.10,689,6.801680,5.198301,5.342447,12.297789,6.032331,7.794148,5
raw,27.10,961,9.247336,5.218215,5.414165,20.250418,8.045586,10.613400,6
raw,29.10,1489,8.627430,6.511669,6.764820,9.338180,8.171493,9.149873,7
raw,3.11,1938,8.167124,6.570137,6.860430,8.374692,7.797037,8.586436,9
raw,31.10,2004,8.352843,7.144470,7.310043,8.454656,7.997108,8.748916,8
valid,19.10,95,3.458372,3.389295,3.398528,0.552022,3.351707,3.570816,0
valid,20.10,21,3.478313,3.424841,3.487802,0.325618,3.354700,3.604304,1
valid,21.10,38,3.530646,3.459560,3.464319,0.520480,3.378330,3.697612,2
valid,24.10,36,5.866077,5.673278,5.793506,1.410822,5.446636,6.343160,3
valid,25.10,42,5.868874,5.806358,5.857035,1.674154,5.365291,6.368847,4
valid,26.10,35,6.213711,5.782107,5.996800,1.581385,5.734074,6.748437,5
valid,27.10,47,6.480827,5.997649,6.544486,1.465131,6.079437,6.901186,6
valid,29.10,58,7.876784,7.895957,7.816795,1.853609,7.391016,8.353722,7
valid,3.11,74,7.560363,7.192794,7.348930,2.046909,7.103745,8.027316,9
valid,31.10,116,7.759160,7.843015,7.769543,1.923509,7.409632,8.102789,8
high_quality,19.10,92,3.472901,3.393943,3.406571,0.549659,3.367055,3.592779,0
high_quality,20.10,18,3.541111,3.526530,3.527179,0.269369,3.425466,3.664351,1
high_quality,21.10,37,3.536582,3.483817,3.469263,0.526354,3.388026,3.725378,2
high_quality,24.10,28,5.593762,5.597750,5.572665,1.090265,5.190200,6.005591,3
high_quality,25.10,37,5.733467,5.744918,5.695989,1.638250,5.181664,6.258794,4
high_quality,26.10,32,6.235829,5.771437,5.998993,1.650472,5.699666,6.844411,5
high_quality,27.10,41,6.682920,6.317841,6.668599,1.320174,6.292479,7.073643,6
high_quality,29.10,47,7.922700,7.905850,7.867908,1.811841,7.431467,8.430494,7
high_quality,3.11,54,7.614515,7.175399,7.404890,2.135544,7.054643,8.190746,9
high_quality,31.10,90,7.587704,7.725549,7.583851,1.907320,7.204935,8.005913,8
