manual_date,dev_day,manual_mean_mm,manual_sd_mm,auto_mean_mm,auto_median_mm,auto_trimmed_mm,auto_sd_mm,n_auto,bias_mean_mm,bias_median_mm,bias_trimmed_mm,rel_error_pct,auto_over_manual
03/08,1,1.65,0.1,3.4729,3.3939,3.4066,0.5497,92,1.8229,1.7439,1.7566,110.4788,2.1048
04/08,2,1.81,0.09,3.5411,3.5265,3.5272,0.2694,18,1.7311,1.7165,1.7172,95.6415,1.9564
06–07/08,3,1.93,0.004,3.5366,3.4838,3.4693,0.5264,37,1.6066,1.5538,1.5393,83.2426,1.8324
07/08,6,2.78,0.09,5.5938,5.5977,5.5727,1.0903,28,2.8138,2.8177,2.7927,101.2145,2.0121
08/08,7,3.37,0.21,5.7335,5.7449,5.696,1.6382,37,2.3635,2.3749,2.326,70.1326,1.7013
09/08,8,3.46,0.22,6.2358,5.7714,5.999,1.6505,32,2.7758,2.3114,2.539,80.2263,1.8023
10–11/08,9,4.55,0.07,6.6829,6.3178,6.6686,1.3202,41,2.1329,1.7678,2.1186,46.8774,1.4688
11–12/08,11,4.95,0.18,7.9227,7.9059,7.8679,1.8118,47,2.9727,2.9559,2.9179,60.0545,1.6005
12–15/08,13,5.75,0.38,7.5877,7.7255,7.5839,1.9073,90,1.8377,1.9755,1.8339,31.9601,1.3196
17/08,16,6.95,0.25,7.6145,7.1754,7.4049,2.1355,54,0.6645,0.2254,0.4549,9.5614,1.0956
21/08,16,7.23,0.52,7.6145,7.1754,7.4049,2.1355,54,0.3845,-0.0546,0.1749,5.3183,1.0532
