set,date,image_name,larva_filename,valid_confidence,predicted_valid,posture_confidence,predicted_posture,area,bbox_w,bbox_h,aspect_ratio,extent,solidity,perimeter
pass,3.11,IMG_8061,larva_027.png,0.9853891555622855,1,0.9348733425140381,1.0,385,34,18,1.8888888888888888,0.6290849673202614,0.9529702970297029,89.3553386926651
pass,3.11,IMG_8061,larva_025.png,0.9781208333333333,1,0.9733718037605286,1.0,230,22,17,1.2941176470588236,0.6149732620320856,0.9704641350210971,66.76955199241638
pass,3.11,IMG_8052,larva_049.png,0.9650551039690689,1,0.9665490984916687,1.0,276,28,19,1.4736842105263157,0.518796992481203,0.9500860585197934,74.42640626430511
pass,3.11,IMG_8053,larva_052.png,0.965,1,0.9708126783370972,1.0,279,21,25,0.84,0.5314285714285715,0.9858657243816255,70.42640590667725
pass,3.11,IMG_8052,larva_061.png,0.9541641957005189,1,0.5354259610176086,1.0,639,54,26,2.076923076923077,0.4551282051282051,0.7517647058823529,143.7817441225052
pass,3.11,IMG_8054,larva_024.png,0.9480233032032984,1,0.9430169463157654,1.0,266,21,21,1.0,0.6031746031746031,0.9888475836431226,67.35533833503723
pass,3.11,IMG_8062,larva_031.png,0.9428698457539102,1,0.6632670760154724,1.0,321,19,27,0.7037037037037037,0.6257309941520468,0.9582089552238806,76.2842708826065
pass,3.11,IMG_7905,larva_044.png,0.9404571265863079,1,0.9391611218452454,1.0,264,25,22,1.1363636363636365,0.48,0.946236559139785,73.25483322143555
pass,3.11,IMG_8051,larva_028.png,0.9366841064065968,1,0.8298845887184143,1.0,501,46,21,2.1904761904761907,0.5186335403726708,0.8789473684210526,117.63960897922516
pass,3.11,IMG_8052,larva_043.png,0.93,1,0.9821311235427856,1.0,278,24,19,1.263157894736842,0.6096491228070176,1.0036101083032491,69.11269772052765
pass,3.11,IMG_8068,larva_031.png,0.9293458079489412,1,0.9236528873443604,1.0,276,22,21,1.0476190476190477,0.5974025974025974,0.971830985915493,69.01219236850739
pass,3.11,IMG_8053,larva_039.png,0.9241346218406652,1,0.8486341238021851,1.0,319,28,24,1.1666666666666667,0.47470238095238093,0.9550898203592815,79.74011433124542
