PER-DATE BODY LENGTH STATISTICS (mm)
-----------------------------------
    Date       n      Mean       Std    Median       P05       P95
------------------------------------------------------------------
   19.10     749      9.04     24.81      3.46      2.65     27.69
   20.10     610     10.42     16.95      3.65      2.60     49.40
   21.10     466      9.99     15.29      3.70      2.67     58.57
   24.10    1340      6.08      7.74      4.46      2.77     12.42
   25.10     765      6.66     11.41      4.79      2.91     11.11
   26.10     689      6.80     12.30      5.20      3.02     11.70
   27.10     961      9.25     20.25      5.22      3.19     18.46
   29.10    1489      8.63      9.34      6.51      3.75     20.36
   31.10    2004      8.35      8.45      7.14      3.79     13.75
    3.11    1938      8.17      8.37      6.57      3.74     13.50
