date,image_name,larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y,body_length_px,body_length_mm
19.10,IMG_3778,1,7501.0,1303.9,707,478.54,1.477,10.18,20.4,2.0,513.57,44.69,0.996,68.9,0.392,0.09,135.97,5.59,9.39,1759.4,1809.3,487.91498551674044,113.32109212398876
19.10,IMG_3778,2,549.0,155.72,105,43.27,2.427,4.58,12.81,2.0,46.56,18.82,0.915,63.5,0.749,0.389,152.1,3.43,5.44,1958.7,1855.0,46.5213195195024,10.804846933356119
19.10,IMG_3778,3,510.0,263.16,109,86.61,1.259,3.85,8.0,2.0,98.83,9.06,0.996,53.1,0.578,0.122,134.85,3.58,10.22,2033.5,1957.8,88.7994226115269,20.624182181370184
19.10,IMG_3778,4,90.0,44.87,14,10.82,1.294,4.74,8.25,2.0,16.28,8.8,0.841,68.8,0.804,0.481,144.19,23.57,69.81,1779.6,1940.9,16.36516240691287,3.8009041160597477
19.10,IMG_3778,5,5010.0,446.84,577,104.55,5.519,10.47,30.53,2.0,109.0,67.66,0.784,40.0,0.822,0.542,15.16,12.66,6.47,2265.0,1993.2,108.76151848415256,25.2604950074129
19.10,IMG_3778,6,94.0,39.46,10,8.54,1.17,6.46,8.25,5.66,14.65,9.15,0.781,-25.8,0.855,0.603,125.15,26.93,55.29,2045.7,1993.1,13.415058155270971,3.1157252517097977
19.10,IMG_3778,7,100.0,42.63,16,10.05,1.592,5.93,8.0,4.0,15.72,9.55,0.794,-28.6,0.855,0.595,141.32,28.11,76.91,1978.0,2030.8,14.845785611370106,3.4480200216382517
19.10,IMG_3778,8,86.0,43.46,16,12.73,1.257,4.68,7.21,2.83,16.21,8.92,0.835,-60.0,0.782,0.441,124.17,21.85,69.67,1788.7,2171.7,15.258500597566567,3.5438754767073095
19.10,IMG_3778,9,89.0,37.21,11,7.62,1.444,6.0,8.0,4.0,12.09,10.38,0.512,68.5,0.881,0.618,135.29,28.39,82.96,2099.5,2184.1,11.333521885622691,2.632276351032113
19.10,IMG_3778,10,96.0,40.63,14,12.04,1.163,5.58,7.21,2.83,15.74,8.88,0.826,-43.9,0.881,0.568,139.88,25.98,72.27,1276.5,2352.9,14.860176597444308,3.4513624118231783
19.10,IMG_3778,11,81.0,42.63,12,10.0,1.2,4.73,8.25,2.0,14.85,8.98,0.796,-66.7,0.786,0.526,148.23,20.72,66.98,1452.9,2461.6,13.917274411987972,3.232367897217638
19.10,IMG_3778,12,84.0,39.21,13,10.77,1.207,4.93,7.21,2.83,15.54,8.02,0.857,75.9,0.866,0.622,148.77,22.59,72.73,1722.5,2467.2,14.308739051260096,3.323287835664001
19.10,IMG_3778,13,93.0,37.21,9,8.06,1.116,6.12,8.25,4.0,12.1,10.72,0.464,-89.8,0.877,0.596,132.0,24.11,89.05,1813.5,2472.9,12.008330814107168,2.789004648011743
19.10,IMG_3778,14,86.0,43.46,14,12.37,1.132,4.11,6.32,2.0,15.01,9.76,0.759,60.6,0.754,0.478,136.85,25.83,77.0,1196.6,2712.6,14.160485568088474,3.288855102251641
19.10,IMG_3778,15,114.0,46.87,17,13.42,1.267,6.05,8.25,2.83,15.42,10.76,0.717,30.6,0.844,0.548,130.84,27.95,83.32,2180.9,2844.4,16.475182866425207,3.82645700744044
19.10,IMG_3778,16,94.0,46.87,15,10.82,1.387,4.69,8.25,2.0,14.29,9.97,0.717,-46.5,0.797,0.516,148.65,19.98,64.2,1223.6,2866.3,13.448954999938582,3.1235979909601053
19.10,IMG_3778,17,89.0,41.46,12,8.06,1.488,4.21,8.0,2.0,14.54,9.54,0.755,29.0,0.84,0.571,133.81,21.89,71.26,1818.0,2878.2,13.889065577632836,3.2258162314324945
19.10,IMG_3778,18,111.0,45.21,13,6.32,2.055,5.81,8.25,4.0,14.59,11.82,0.587,46.0,0.828,0.566,130.71,26.19,84.77,1262.0,2921.0,13.445082602839996,3.122698604219842
19.10,IMG_3778,19,172.0,57.46,21,12.04,1.744,7.09,10.0,2.83,21.28,12.19,0.82,-16.5,0.891,0.585,145.19,16.58,68.22,1659.4,2945.4,20.027588917014107,4.65152396637849
19.10,IMG_3778,20,111.0,40.63,8,4.0,2.0,8.08,10.0,6.0,13.56,11.25,0.559,-53.4,0.91,0.657,126.24,25.71,82.95,1127.9,2983.5,12.798116452735583,2.9724369543968954
19.10,IMG_3778,21,109.0,40.63,12,10.0,1.2,6.5,8.94,4.0,14.29,10.53,0.676,59.5,0.886,0.599,149.65,25.79,73.52,1552.5,3165.7,13.538380638862085,3.144367615520754
19.10,IMG_3778,22,84.0,34.97,8,6.32,1.265,5.77,8.0,4.0,13.09,8.56,0.757,11.7,0.923,0.667,116.52,17.4,73.88,1247.4,3298.3,13.338024223328665,3.097833673140917
19.10,IMG_3779,1,5864.0,998.84,547,354.53,1.543,10.05,18.87,2.0,410.19,34.93,0.996,71.6,0.488,0.123,136.62,3.98,10.0,1738.4,1789.2,388.0138704501905,90.11847732469954
19.10,IMG_3779,2,648.0,201.42,111,69.07,1.607,4.9,12.81,2.0,69.36,13.93,0.98,60.7,0.686,0.253,137.22,4.82,5.22,1949.3,1885.4,71.40911612314929,16.58518239220256
19.10,IMG_3779,3,112.0,47.46,16,3.0,5.333,5.79,8.94,2.83,18.42,9.08,0.87,-79.0,0.836,0.536,134.26,22.38,69.3,1876.6,1874.6,17.858400153101552,4.147717264296325
19.10,IMG_3779,4,88.0,42.04,12,9.9,1.212,4.97,8.0,2.0,15.76,8.89,0.826,60.8,0.822,0.458,139.73,21.6,70.56,1750.6,1944.9,15.533290900855643,3.607697122277021
19.10,IMG_3779,5,93.0,41.21,14,11.66,1.2,5.07,7.21,2.83,15.74,8.97,0.822,-19.5,0.809,0.604,133.05,29.49,83.87,2031.2,1998.5,14.257553380497377,3.31139966603587
19.10,IMG_3779,6,101.0,42.38,13,10.63,1.223,5.83,8.0,4.0,16.63,9.22,0.832,-29.2,0.863,0.561,135.65,29.57,82.29,1972.6,2020.6,15.635449896345332,3.6314241429319005
19.10,IMG_3779,7,101.0,46.87,12,12.81,0.937,4.79,8.0,2.83,19.09,8.29,0.901,51.2,0.808,0.421,131.71,24.79,61.5,2084.6,2027.4,17.803538095359592,4.134975232417752
19.10,IMG_3779,8,1157.0,249.95,129,68.96,1.871,8.75,22.63,2.0,66.98,24.81,0.929,27.8,0.771,0.387,159.4,3.7,3.66,2210.9,2104.1,73.40363923677506,17.04842198149953
19.10,IMG_3779,9,84.0,35.21,8,7.07,1.131,6.69,8.0,5.66,13.4,8.43,0.777,-84.8,0.903,0.6,110.21,25.85,87.5,1019.7,2175.8,13.127646311977994,3.048972180092547
19.10,IMG_3779,10,100.0,42.63,15,7.28,2.06,5.7,8.49,4.0,15.98,9.63,0.798,64.1,0.826,0.549,131.29,23.2,66.68,1884.1,2189.5,15.188077678662943,3.527519344353092
19.10,IMG_3779,11,90.0,40.28,15,6.32,2.372,5.59,8.25,2.83,12.94,10.06,0.629,57.8,0.841,0.495,129.28,29.26,86.67,2103.2,2198.9,11.971457509359531,2.7804406086027105
19.10,IMG_3779,12,92.0,43.8,18,9.22,1.952,4.89,7.21,2.83,14.5,9.76,0.739,10.8,0.793,0.697,154.45,12.32,54.38,2162.4,2314.1,12.113916166469226,2.81352745997107
19.10,IMG_3779,13,88.0,41.8,15,12.37,1.213,5.21,8.0,2.83,16.39,8.49,0.855,83.8,0.822,0.55,152.12,20.81,68.58,1681.6,2460.3,15.34282675684655,3.563460717472376
19.10,IMG_3779,14,102.0,40.63,13,6.71,1.938,6.51,8.25,4.0,13.04,11.26,0.504,83.5,0.85,0.56,139.65,24.57,80.93,1828.1,2465.0,13.029644501215873,3.0262106897605165
19.10,IMG_3779,15,94.0,41.21,11,9.43,1.166,5.47,8.0,4.0,14.85,9.85,0.748,44.6,0.81,0.516,136.57,26.17,79.86,1192.9,2729.1,13.439587001761511,3.1214222189179393
19.10,IMG_3779,16,99.0,38.63,10,9.43,1.06,6.56,8.49,4.0,14.36,9.21,0.767,33.3,0.892,0.589,127.17,27.93,84.79,2180.3,2836.0,14.159312684899007,3.2885826933117444
19.10,IMG_3779,17,84.0,40.63,12,10.0,1.2,4.93,8.0,2.83,14.39,9.3,0.763,33.9,0.8,0.545,138.25,20.95,68.36,1832.2,2854.9,14.134702528432875,3.2828668413890356
19.10,IMG_3779,18,98.0,43.7,15,9.49,1.581,3.38,7.21,2.0,14.37,9.73,0.736,-10.0,0.845,0.653,152.16,19.25,63.59,1253.2,2891.9,14.654139059031815,3.403508995624628
19.10,IMG_3779,19,111.0,44.63,15,8.25,1.819,5.77,8.94,4.0,14.62,11.74,0.596,24.5,0.841,0.569,136.71,25.7,80.63,1289.5,2906.7,13.902234909394432,3.22887488530062
19.10,IMG_3779,20,88.0,43.21,18,13.04,1.381,4.9,8.0,2.83,16.14,9.17,0.823,17.4,0.807,0.5,150.69,16.3,65.32,1534.4,2928.0,15.210900026222873,3.532819967263015
19.10,IMG_3779,21,149.0,54.04,16,15.03,1.064,6.33,8.94,4.0,20.47,10.86,0.847,3.4,0.814,0.573,143.6,19.14,69.4,1681.0,2957.5,19.262696116049426,4.473873166267698
19.10,IMG_3779,22,114.0,42.87,8,6.71,1.193,7.56,8.25,6.32,14.93,10.55,0.708,-47.9,0.87,0.582,129.19,24.38,82.57,1141.0,3004.0,13.5239424969507,3.1410142731184774
19.10,IMG_3779,23,102.0,40.63,11,9.22,1.193,6.14,8.94,4.0,13.97,10.61,0.651,40.7,0.887,0.604,147.79,25.68,79.75,1582.5,3179.3,13.663877955692014,3.1735150969959047
19.10,IMG_3780,1,3890.0,448.64,454,79.81,5.688,8.46,26.0,2.0,95.87,57.25,0.802,64.9,0.824,0.59,28.21,8.41,9.78,1723.8,1602.5,100.03659775959815,23.234081442446044
19.10,IMG_3780,2,7422.0,1280.93,680,485.06,1.402,9.96,21.54,2.0,505.26,45.44,0.996,68.8,0.407,0.088,136.87,5.7,10.72,1774.0,1813.2,489.86934294695925,113.77500299979118
19.10,IMG_3780,3,100.0,83.3,36,13.93,2.585,2.68,4.47,2.0,20.11,11.67,0.814,10.0,0.538,0.427,19.43,3.23,13.1,2074.7,1771.4,17.318758059238963,4.022382250517605
19.10,IMG_3780,4,113.0,44.63,14,13.04,1.074,6.08,8.49,4.0,18.15,8.83,0.874,-88.6,0.869,0.595,143.7,27.59,71.88,1847.7,1887.5,18.019270060331134,4.185080235548037
19.10,IMG_3780,5,180.0,107.1,52,33.3,1.561,2.99,5.66,2.0,38.73,7.79,0.98,50.9,0.636,0.239,136.27,3.31,11.11,2020.6,1942.3,36.23476228985032,8.415734210725692
19.10,IMG_3780,6,84.0,35.8,5,4.47,1.118,6.09,8.0,4.47,13.01,9.14,0.712,49.2,0.884,0.583,136.82,21.98,74.42,1733.0,1938.9,12.144414018950247,2.820610763524301
19.10,IMG_3780,7,116.0,46.87,16,13.45,1.189,5.62,8.0,2.83,17.68,9.84,0.831,-32.6,0.872,0.518,143.03,31.44,79.04,1976.2,2002.3,17.485501984856533,4.06110949669147
19.10,IMG_3780,8,102.0,48.53,15,14.42,1.04,4.92,8.0,2.83,18.62,8.37,0.893,-25.4,0.745,0.462,137.04,30.55,79.75,2020.1,2005.5,18.31436103193388,4.253616829361683
19.10,IMG_3780,9,115.0,52.28,15,14.87,1.009,5.1,8.0,2.83,20.37,9.17,0.893,52.3,0.767,0.398,131.77,21.38,48.78,2095.9,2038.6,19.206391466328515,4.460796084014783
