model,param_index,param_est,param_se,ci_lower,ci_upper,r2,rmse,aic,bic,mean_resid,std_resid,normality_p,lag1_autocorr
gompertz,0,9.627738410849352,2.0059691765330125,7.80182351076844,24.99747408735015,,,,,,,,
gompertz,1,1.1670156565763607,0.1725497963204235,0.9637792846577131,2.017219263308403,,,,,,,,
gompertz,2,0.20208452043748812,0.08982071872855991,0.061340861404513496,0.3580354781982768,,,,,,,,
gompertz,-1,,,,,0.9320822642253263,0.4333587665385058,-10.723786678219817,-9.81603139923768,0.002486008592580724,0.45679273235249557,0.5179510313854041,-0.26027240227069126
logistic,0,8.735476897237639,1.078646922963958,7.556407461690615,12.596664878514657,,,,,,,,
logistic,1,0.32304899697454836,0.09677556770561227,0.17851430061908005,0.49801143688586863,,,,,,,,
logistic,2,1.9954947670336223,0.8787500051338241,1.104177565338681,5.663909527351944,,,,,,,,
logistic,-1,,,,,0.937161712390524,0.4168388199495303,-11.501113096107446,-10.593357817125309,0.0038938297647070465,0.43936752510686744,0.39729894787614306,-0.30782835337357933
von_bertalanffy,0,10.18475047550083,2.7158272854388463,7.914326492168726,65.80533506411359,,,,,,,,
von_bertalanffy,1,0.16207795729001281,0.08817695527379532,0.023572398524637533,0.3189780242693465,,,,,,,,
von_bertalanffy,2,-6.751815889331498,3.0576870201624615,-20.416397791700522,-3.586225484388019,,,,,,,,
von_bertalanffy,-1,,,,,0.9301061489717996,0.4396180058427455,-10.43698195371222,-9.529226674730083,0.0017603558727252277,0.46339435114807825,0.5787595433013852,-0.24148008734044846
linear,0,3.302119124554342,0.32130832010206983,,,,,,,,,,
linear,1,0.5533399790334794,0.06018656285622703,,,,,,,,,,
linear,-1,,,,,0.9135368508512198,0.4889579498031068,-10.309575708549874,-9.704405522561782,-6.451866285672736e-09,0.515406933808032,0.7595300703263894,-0.04698125446331196
quadratic,0,2.9664651719925152,0.41791618348475806,,,,,,,,,,
quadratic,1,0.8050804425507727,0.21625683124723927,,,,,,,,,,
quadratic,2,-0.02797116278287738,0.02313205018914728,,,,,,,,,,
quadratic,-1,,,,,0.9284765892886796,0.4447132764848328,-10.206510539736868,-9.298755260754731,-4.0585397265147095e-10,0.46876895313609024,0.5197218450132534,-0.2297854976457408
