date,day_index,n,mean_mm,std_mm
19.10,0,92,3.4729010189570526,0.5496587239300542
20.10,1,18,3.5411114476723555,0.26936885149805057
21.10,2,37,3.5365815984340556,0.5263536823412002
24.10,3,28,5.593761871353624,1.090264907594366
25.10,4,37,5.733467156641339,1.6382495905456347
26.10,5,32,6.2358288029990305,1.6504723348830628
27.10,6,41,6.682920015186431,1.3201740400605046
29.10,7,47,7.922699982213481,1.8118414809409382
31.10,8,90,7.5877037506055505,1.907320154413896
3.11,9,54,7.614514593468415,2.135544134863652
