date,num_larvae,avg_length_px,std_length_px,median_length_px,min_length_px,max_length_px,avg_length_mm,std_length_mm,median_length_mm,min_length_mm,max_length_mm
18.10,13,28.53846153846154,8.949562813691685,30.0,10.0,41.0,6.628223614923077,2.0785879962380927,6.96767442,2.32255814,9.522488374
19.10,261,14.689655172413794,4.898143392486022,14.0,6.0,46.0,3.411757819448276,1.1376222807105625,3.251581396,1.3935348840000001,10.683767444
20.10,113,14.035398230088495,4.875311115173203,14.0,5.0,36.0,3.2598028407433626,1.1323193515578,3.251581396,1.16127907,8.361209304
21.10,98,14.795918367346939,4.598045688833618,14.0,7.0,42.0,3.4364380642857144,1.0679228442692426,3.251581396,1.625790698,9.754744188
24.10,234,25.756410256410255,7.83459220234141,25.0,5.0,46.0,5.9820760298205125,1.819629589312857,5.80639535,1.16127907,10.683767444
25.10,131,24.85496183206107,8.526673136079252,25.0,5.0,56.0,5.772709392244275,1.9803694099320195,5.80639535,1.16127907,13.006325584
26.10,105,27.64761904761905,6.155107754858798,27.0,7.0,40.0,6.421320267066667,1.4295595618624426,6.270906978,1.625790698,9.29023256
27.10,237,28.345991561181435,8.20507939110127,27.0,11.0,57.0,6.583521343679325,1.9056773929148498,6.270906978,2.554813954,13.238581398000001
29.10,239,30.301255230125523,6.900460727881387,30.0,13.0,53.0,7.037642698694561,1.6026721233291241,6.96767442,3.019325582,12.309558142
31.10,486,31.162551440329217,7.756075334939918,30.0,11.0,58.0,7.237683751090535,1.8013935903617933,6.96767442,2.554813954,13.470837212000001
3.11,364,29.445054945054945,7.946230894993015,28.0,11.0,53.0,6.838785204538461,1.8455583247485512,6.503162792,2.554813954,12.309558142
