date,mean_px,std_px,n,mean_mm,std_mm
19.10,60.5370250833417,83.30354136247718,101,14.060076037869946,19.347731808224808
20.10,57.168057750801786,72.0574273741616,121,13.277613787711479,16.735756449531788
21.10,56.9189815903602,66.19426314928486,117,13.219764401320122,15.37400246986736
24.10,64.96139769130878,30.312372374104662,183,15.08766229937264,7.040224720018791
25.10,62.90475028624467,35.1971132636539,106,14.609993982198489,8.174734191500132
26.10,61.65456830016528,35.793578647197506,104,14.319631947373484,8.313266744677875
27.10,68.02917159459057,35.900204459934855,163,15.80017062444731,8.3380312096086
29.10,68.31281764571742,37.83547852852199,398,15.866049068939663,8.787509863721397
31.10,64.67913009693223,40.02425760859696,363,15.022104009474894,9.29586653063038
3.11,63.842228327786856,41.44202729946501,333,14.827728707843995,9.625151784247468
