date,mean_px,std_px,n,mean_mm,std_mm
19.10,61.35980294597333,19.368904963350126,590,14.251170980096633,4.498540788551524
20.10,65.44655736275567,36.71965175860223,399,15.200343453784512,8.528352608990692
21.10,61.675194550704724,18.500697836065886,279,14.32442251398229,4.296894635483521
24.10,63.11550740258888,27.895855413371315,989,14.658943547811306,6.478974606258862
25.10,61.675227233687124,29.167338552317126,523,14.324430104794972,6.7742839576819955
26.10,64.2965331100925,28.273850875634615,476,14.933243634862485,6.566766250035131
27.10,60.610610796188624,33.40332536312371,664,14.077166747505977,7.758116522519144
29.10,68.86724426262542,36.41191410766374,807,15.994817874152897,8.456878750373527
31.10,60.859094898748936,40.733710730403025,1091,14.134878625012181,9.460641142930289
3.11,63.079300994970055,38.528676639534794,1085,14.650534399137781,8.948509155257938
